"Instance  Ins.","Status  Sta.","Variables  Var.","Binaries  Bin.","Integers  Int.","Continuous  Con.","Constraints  Con.","Nonz.  Non.","Submitter  Sub.","Group  Gro.","Objective  Obj.","Tags  Tag."
"supportcase19","hard","1429098","1311292","117806","0","10713","4287094","Michael Winkler","--","12677205.99992052","benchmark benchmark_suitable variable_bound set_partitioning set_covering general_linear"
"supportcase12","easy","799616","0","200","799416","166781","2334437","Michael Winkler","--","-7559.533053817","benchmark benchmark_suitable aggregations variable_bound integer_knapsack mixed_binary general_linear"
"neos-5114902-kasavu","hard","710164","14560","0","695604","961170","4240376","Jeff Linderoth","neos-pseudoapplication-104","655","benchmark benchmark_suitable variable_bound cardinality invariant_knapsack mixed_binary"
"neos-848589","easy","550539","747","0","549792","1484","1101078","NEOS Server Submission","neos-pseudoapplication-77","2351.40309999697","benchmark benchmark_suitable cardinality mixed_binary"
"s100","hard","364417","364417","0","0","14733","1777917","Daniel Espinoza","Spinoza","-0.1697235270583","benchmark binary benchmark_suitable aggregations set_partitioning set_packing cardinality invariant_knapsack knapsack"
"neos-5104907-jarama","hard","345856","9520","0","336336","489818","2053548","Jeff Linderoth","neos-pseudoapplication-24","935","benchmark benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"savsched1","easy","328575","252731","0","75844","295989","1770507","Gerardo Gonzalez","--","3217.7","benchmark benchmark_suitable aggregations variable_bound set_packing invariant_knapsack mixed_binary"
"highschool1-aigio","hard","320404","319686","718","0","92568","1562168","George Fonseca","timetabling","0","benchmark benchmark_suitable aggregations variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack general_linear"
"s250r10","easy","273142","273139","0","3","10962","1318607","Daniel Espinoza","Spinoza","-0.1717804834232","benchmark benchmark_suitable aggregations set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary"
"rail02","easy","270869","270869","0","0","95791","756228","Thomas Schlechte","rail0","-200.4499077","benchmark binary benchmark_suitable aggregations set_partitioning set_packing cardinality"
"neos-5049753-cuanza","easy","242736","8304","0","234432","322248","1440672","Jeff Linderoth","neos-pseudoapplication-85","561.9999971689","benchmark benchmark_suitable variable_bound cardinality invariant_knapsack mixed_binary"
"neos-787933","easy","236376","236376","0","0","1897","298320","NEOS Server Submission","neos-pseudoapplication-36","30","benchmark binary decomposition benchmark_suitable binpacking mixed_binary"
"snp-02-004-104","easy","228350","167","167","228016","126512","463941","Gerald Gamrath","supplynetworkplanning","586803238.6567289","benchmark benchmark_suitable aggregations variable_bound mixed_binary general_linear"
"gfd-schedulen180f7d50m30k18","hard","227535","192408","2025","33102","457985","1233372","Gleb Belov","gfd-schedule","1","benchmark feasibility benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear"
"neos-4413714-turia","easy","190402","190201","0","201","2303","761756","Jeff Linderoth","neos-pseudoapplication-67","45.3701670199998","benchmark benchmark_suitable set_partitioning binpacking mixed_binary"
"neos-873061","easy","175288","87644","0","87644","93360","350576","NEOS Server Submission","neos-pseudoapplication-61","113.6562385063","benchmark decomposition benchmark_suitable precedence variable_bound mixed_binary"
"radiationm40-10-02","hard","172013","62400","47213","62400","173603","406825","Gleb Belov","radiation","155328","benchmark decomposition benchmark_suitable aggregations precedence variable_bound integer_knapsack mixed_binary general_linear"
"neos-631710","easy","167056","167056","0","0","169576","834166","NEOS Server Submission","neos-pseudoapplication-75","203","benchmark binary benchmark_suitable precedence set_partitioning set_packing binpacking"
"map10","easy","164547","146","0","164401","328818","549920","Kiyan Ahmadizadeh","map","-495","benchmark benchmark_suitable precedence variable_bound knapsack mixed_binary"
"map16715-04","easy","164547","146","0","164401","328818","549920","Kiyan Ahmadizadeh","map","-111","benchmark benchmark_suitable precedence variable_bound knapsack mixed_binary"
"proteindesign121hz512p9","hard","159145","159054","91","0","301","629449","Gleb Belov","proteindesign","1473","benchmark benchmark_suitable set_partitioning general_linear"
"buildingenergy","easy","154978","0","26287","128691","277594","788969","Kristopher A. Pruitt","--","33283.853236","benchmark benchmark_suitable aggregations precedence variable_bound mixed_binary general_linear"
"bab2","hard","147912","147912","0","0","17245","2027726","Elmar Swarat","bab","-357544.3115","benchmark binary decomposition benchmark_suitable aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary"
"supportcase7","easy","138844","451","14","138379","6532","2845545","Michael Winkler","--","-1132.223177","benchmark benchmark_suitable precedence variable_bound invariant_knapsack mixed_binary"
"supportcase6","easy","130052","130051","1","0","771","584976","Michael Winkler","--","51906.47737","benchmark benchmark_suitable set_partitioning cardinality general_linear"
"netdiversion","easy","129180","129180","0","0","119589","615282","Chris Cullenbine","--","242","benchmark binary benchmark_suitable precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack"
"proteindesign122trx11p8","easy","127326","127248","78","0","254","503427","Gleb Belov","proteindesign","1747","benchmark benchmark_suitable set_partitioning general_linear"
"neos-2075418-temuka","easy","122304","122304","0","0","349602","7610261","Hans Mittelmann","neos-pseudoapplication-62","Infeasible","benchmark infeasible binary benchmark_suitable precedence variable_bound set_covering invariant_knapsack knapsack"
"rail01","easy","117527","117527","0","0","46843","392086","Thomas Schlechte","rail0","-70.5699643","benchmark binary benchmark_suitable aggregations variable_bound set_partitioning set_packing cardinality knapsack"
"bab6","hard","114240","114240","0","0","29904","1283181","Elmar Swarat","bab","-284248.2307000001","benchmark binary benchmark_suitable aggregations precedence set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary"
"physiciansched6-2","easy","111827","109346","0","2481","168336","480259","Pelin Damci-Kurt","physiciansched","49324","benchmark decomposition benchmark_suitable precedence variable_bound set_packing set_covering invariant_knapsack binpacking knapsack mixed_binary"
"thor50dday","hard","106261","53131","0","53130","53360","212060","Daniel Rehfeldt","--","40417","benchmark decomposition benchmark_suitable variable_bound mixed_binary"
"roi5alpha10n8","hard","106150","105950","0","200","4665","2370224","Domenico Salvagnin","--","-52.322274351","benchmark decomposition benchmark_suitable variable_bound cardinality binpacking mixed_binary"
"square47","easy","95030","94987","43","0","61591","27329856","Sascha Kurz","square","15.9999999997877","benchmark benchmark_suitable set_partitioning general_linear"
"nw04","easy","87482","87482","0","0","36","636666","MIPLIB submission pool","--","16862","benchmark binary benchmark_suitable set_partitioning"
"neos-4532248-waihi","easy","86842","86841","0","1","167322","525339","Jeff Linderoth","neos-pseudoapplication-6","61.59999999999999","benchmark benchmark_suitable aggregations precedence set_partitioning cardinality binpacking knapsack mixed_binary"
"physiciansched3-3","easy","79555","72141","0","7414","266227","1062479","Pelin Damci-Kurt","physiciansched","2623271.326667","benchmark decomposition benchmark_suitable precedence variable_bound set_packing set_covering invariant_knapsack binpacking knapsack mixed_binary"
"neos-4722843-widden","easy","77723","73349","20","4354","113555","311529","Jeff Linderoth","neos-pseudoapplication-30","25009.662227","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning invariant_knapsack binpacking knapsack mixed_binary general_linear"
"chromaticindex1024-7","easy","73728","73728","0","0","67583","270324","Pierre Le Bodic","chromaticindex","4","benchmark binary benchmark_suitable set_partitioning set_packing"
"tbfp-network","easy","72747","72747","0","0","2436","215837","Rob Pratt","--","24.16319444","benchmark binary benchmark_suitable set_partitioning cardinality"
"eilA101-2","easy","65832","65832","0","0","100","959373","J. Linderoth","eil","880.9201079999999","benchmark binary benchmark_suitable set_partitioning"
"rail507","easy","63019","63009","0","10","509","468878","A. Caprara, M. Fischetti, P. Toth","--","174","benchmark binary benchmark_suitable variable_bound set_covering invariant_knapsack"
"fast0507","easy","63009","63009","0","0","507","409349","MIPLIB submission pool","--","174","benchmark binary benchmark_suitable variable_bound set_covering"
"uccase12","easy","62529","9072","0","53457","121161","419447","Daniel Espinoza","uccase","11507.4050616","benchmark benchmark_suitable aggregations precedence variable_bound mixed_binary"
"square41","easy","62234","62197","37","0","40160","13566426","Sascha Kurz","square","15","benchmark benchmark_suitable set_partitioning general_linear"
"irish-electricity","easy","61728","9888","0","51840","104259","523257","Paula Carroll","--","3723497.591396","benchmark benchmark_suitable precedence variable_bound invariant_knapsack binpacking knapsack mixed_binary"
"sing44","hard","59708","43524","0","16184","54745","281260","Daniel Espinoza","sing","8128831.1772","benchmark decomposition benchmark_suitable aggregations variable_bound set_partitioning cardinality mixed_binary"
"neos-960392","easy","59376","59376","0","0","4744","189503","NEOS Server Submission","neos-pseudoapplication-94","-238","benchmark binary benchmark_suitable precedence variable_bound set_partitioning set_packing invariant_knapsack binpacking knapsack"
"neos-957323","easy","57756","57756","0","0","3757","499656","NEOS Server Submission","neos-pseudoapplication-48","-237.7566815","benchmark binary benchmark_suitable precedence variable_bound set_packing invariant_knapsack binpacking knapsack"
"sing326","hard","55156","40010","0","15146","50781","268173","Daniel Espinoza","sing","7753674.85376","benchmark decomposition benchmark_suitable aggregations variable_bound set_partitioning cardinality mixed_binary"
"neos-4763324-toguru","easy","53593","53592","0","1","106954","266805","Hans Mittelmann","neos-pseudoapplication-106","1613.03884585","benchmark benchmark_suitable precedence variable_bound set_partitioning cardinality"
"neos-2746589-doon","easy","50936","50704","224","8","31530","271072","Jeff Linderoth","neos-pseudoapplication-52","2008.199999999999","benchmark decomposition benchmark_suitable aggregations variable_bound set_partitioning cardinality mixed_binary general_linear"
"cryptanalysiskb128n5obj14","hard","48950","47830","1120","0","98021","292875","Gleb Belov","cryptanalysis","Infeasible","benchmark infeasible feasibility benchmark_suitable aggregations precedence variable_bound set_covering cardinality invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear"
"cryptanalysiskb128n5obj16","easy","48950","47830","1120","0","98021","292875","Gleb Belov","cryptanalysis","0","benchmark feasibility benchmark_suitable aggregations precedence variable_bound set_covering cardinality invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear"
"atlanta-ip","easy","48738","46667","106","1965","21732","257532","E-Plus, D. Bienstock, A. Bley, R. Wessäly","--","90.009878614","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_covering cardinality invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear"
"co-100","easy","48417","48417","0","0","2187","1995817","Axel Werner","--","2639942.06","benchmark binary benchmark_suitable precedence set_partitioning set_packing binpacking knapsack"
"neos-5093327-huahum","hard","40640","64","0","40576","51840","784768","Jeff Linderoth","neos-pseudoapplication-17","6259.999997125895","benchmark decomposition benchmark_suitable aggregations mixed_binary"
"radiationm18-12-05","easy","40623","14688","11247","14688","40935","96149","Gleb Belov","radiation","17566","benchmark decomposition benchmark_suitable aggregations precedence variable_bound integer_knapsack mixed_binary general_linear"
"rmatr200-p5","easy","37816","200","0","37616","37617","113048","Dmitry Krushinsky","rmatr","4521","benchmark benchmark_suitable cardinality mixed_binary"
"neos-3555904-turama","easy","37461","37461","0","0","146493","793605","Hans Mittelmann","neos-pseudoapplication-81","-34.7","benchmark binary benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack"
"chromaticindex512-7","easy","36864","36864","0","0","33791","135156","Pierre Le Bodic","chromaticindex","4","benchmark binary benchmark_suitable set_partitioning set_packing"
"satellites2-40","easy","35378","34324","0","1054","20916","283668","He Renjie","satellites","-19","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary"
"satellites2-60-fs","easy","35378","34324","0","1054","16516","125048","He Renjie","satellites","-19.0000000001","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality knapsack mixed_binary"
"nursesched-medium-hint03","hard","34248","34170","78","0","14062","622800","Haroldo Gambini Santos","nursescheduling","115","benchmark decomposition benchmark_suitable set_partitioning set_packing cardinality invariant_knapsack general_linear"
"fiball","easy","34219","33960","258","1","3707","104792","MIPLIB submission pool","--","138","benchmark decomposition benchmark_suitable aggregations precedence set_partitioning general_linear"
"uccase9","easy","33242","8064","0","25178","49565","332316","Daniel Espinoza","uccase","10993.131409","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning invariant_knapsack binpacking knapsack mixed_binary"
"neos-4300652-rahue","hard","33003","20900","0","12103","76992","183616","Jeff Linderoth","neos-pseudoapplication-13","2.1416","benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality knapsack mixed_binary"
"neos-5052403-cygnet","easy","32868","32868","0","0","38268","4898304","Jeff Linderoth","neos-pseudoapplication-100","182","benchmark binary benchmark_suitable set_covering invariant_knapsack"
"neos-827175","easy","32504","21350","0","11154","14187","110790","NEOS Server Submission","neos-pseudoapplication-87","112.00152","benchmark decomposition benchmark_suitable aggregations set_partitioning set_packing cardinality binpacking mixed_binary general_linear"
"neos-933966","easy","31762","27982","0","3780","12047","180618","NEOS Server Submission","neos-pseudoapplication-34","318","benchmark benchmark_suitable precedence variable_bound set_packing invariant_knapsack mixed_binary"
"ns1644855","easy","30200","10000","0","20200","40698","2110696","NEOS Server Submission","neos-pseudoapplication-76","-1524.33333333333","benchmark benchmark_suitable variable_bound set_partitioning mixed_binary general_linear"
"triptim1","easy","30055","20456","9592","7","15706","515436","MIPLIB submission pool","triptim","22.8680999999999","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing set_covering invariant_knapsack general_linear"
"academictimetablesmall","easy","28926","28926","0","0","23294","268350","Joshua Friedman","--","0","benchmark binary decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack equation_knapsack binpacking knapsack"
"neos-2987310-joes","easy","27837","3051","0","24786","29015","580291","Jeff Linderoth","neos-pseudoapplication-82","-607702988.3","benchmark benchmark_suitable precedence mixed_binary"
"app1-2","easy","26871","13300","0","13571","53467","199175","Emilie Danna","app","-41","benchmark decomposition benchmark_suitable precedence variable_bound set_covering mixed_binary"
"neos-3988577-wolgan","easy","25870","25870","0","0","44662","350350","Hans Mittelmann","neos-pseudoapplication-64","Infeasible","benchmark infeasible binary decomposition benchmark_suitable precedence set_packing cardinality invariant_knapsack binpacking knapsack"
"unitcal_7","easy","25755","2856","0","22899","48939","127595","R. O'Neill","--","19635558.244","benchmark benchmark_suitable precedence variable_bound mixed_binary general_linear"
"cbs-cta","easy","24793","2467","0","22326","10112","64388","Jordi Castro","cta","0","benchmark decomposition benchmark_suitable variable_bound mixed_binary"
"brazil3","easy","23968","23874","94","0","14646","133184","George Fonseca","timetabling","24","benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"neos8","easy","23228","23224","4","0","46324","313180","NEOS Server Submission","neos-pseudoapplication-15","-3719","benchmark benchmark_suitable precedence set_packing cardinality invariant_knapsack binpacking general_linear"
"n2seq36q","easy","22480","22480","0","0","2565","183292","R. Meirich","nseq","52200","benchmark binary benchmark_suitable set_packing set_covering invariant_knapsack binpacking knapsack"
"n3div36","easy","22120","22120","0","0","4484","340740","R. Meirich","nseq","130800","benchmark binary decomposition benchmark_suitable set_packing set_covering mixed_binary"
"lectsched-5-obj","easy","21805","21389","416","0","38884","239608","Harald Schilly","lectsched","24","benchmark benchmark_suitable aggregations precedence variable_bound set_covering invariant_knapsack integer_knapsack general_linear"
"neos-2978193-inde","easy","20800","64","0","20736","396","41600","Jeff Linderoth","neos-pseudoapplication-5","-2.38806169","benchmark decomposition benchmark_suitable cardinality mixed_binary"
"neos-1445765","easy","20617","2150","0","18467","2147","40230","NEOS Server Submission","neos-pseudoapplication-88","-17783","benchmark benchmark_suitable aggregations invariant_knapsack mixed_binary"
"irp","easy","20315","20315","0","0","39","98254","MIPLIB submission pool","--","12159.49283539698","benchmark binary benchmark_suitable set_partitioning"
"supportcase33","easy","20203","20102","101","0","20489","211915","Domenico Salvagnin","--","-345","benchmark benchmark_suitable precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack integer_knapsack general_linear"
"nexp-150-20-8-5","easy","20115","17880","0","2235","4620","42465","MIPLIB submission pool","exp_and_fc","231","benchmark benchmark_suitable set_packing mixed_binary"
"supportcase42","easy","19466","0","1026","18440","18439","435653","Domenico Salvagnin","--","7.75863072227","benchmark benchmark_suitable precedence variable_bound general_linear"
"30n20b8","easy","18380","18318","62","0","576","109706","E. Coughlan, M. Lübbecke, J. Schulz","--","302","benchmark benchmark_suitable precedence set_partitioning general_linear"
"neos-662469","easy","18235","17907","328","0","1085","200055","NEOS Server Submission","neos-pseudoapplication-73","184379.9999999999","benchmark benchmark_suitable variable_bound set_packing set_covering binpacking knapsack integer_knapsack general_linear"
"ns1760995","easy","17956","17822","0","134","615388","1854012","NEOS Server Submission","neos-pseudoapplication-12","-549.21438505","benchmark benchmark_suitable precedence variable_bound set_partitioning set_packing cardinality mixed_binary"
"ex10","easy","17680","0","17680","0","69608","1162000","Iulian Ober","--","100","benchmark binary benchmark_suitable precedence set_partitioning invariant_knapsack"
"comp07-2idx","easy","17264","17155","109","0","21235","86577","Matias Sørensen","coursetimetabling","6","benchmark decomposition benchmark_suitable precedence variable_bound set_packing cardinality invariant_knapsack mixed_binary general_linear"
"neos-3004026-krka","easy","17030","16900","130","0","12545","41860","Jeff Linderoth","neos-pseudoapplication-38","0","benchmark feasibility benchmark_suitable set_partitioning general_linear"
"supportcase40","easy","16440","2000","0","14440","38192","104420","Domenico Salvagnin","--","24256.3122898","benchmark decomposition benchmark_suitable precedence variable_bound set_packing mixed_binary"
"cmflsp50-24-8-8","easy","16392","1392","0","15000","3520","158622","Andrea Arias","cmflsp","55789389.886","benchmark benchmark_suitable precedence variable_bound mixed_binary"
"blp-ar98","easy","16021","15806","0","215","1128","200601","M. Lübbecke","blp","6205.2147104","benchmark decomposition benchmark_suitable variable_bound set_packing equation_knapsack mixed_binary general_linear"
"sp98ar","easy","15085","15085","0","0","1435","426148","J. Goessens, S. v. Hoessel, L. Kroon","sp9","529740623.2","benchmark binary benchmark_suitable variable_bound set_packing set_covering mixed_binary"
"neos-3656078-kumeu","hard","14870","9755","4455","660","17656","59292","Jeff Linderoth","neos-pseudoapplication-44","-13172.2","benchmark benchmark_suitable aggregations precedence variable_bound set_packing cardinality invariant_knapsack knapsack mixed_binary general_linear"
"supportcase10","hard","14770","14770","0","0","165684","555082","Michael Winkler","--","7","benchmark binary benchmark_suitable aggregations precedence variable_bound set_covering invariant_knapsack"
"neos-5195221-niemur","easy","14546","9792","0","4754","42256","176586","Jeff Linderoth","neos-pseudoapplication-32","0.0038354326","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack knapsack mixed_binary"
"neos-5188808-nattai","easy","14544","288","0","14256","29452","133686","Jeff Linderoth","neos-pseudoapplication-98","0.110283622999984","benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality knapsack mixed_binary"
"decomp2","easy","14387","14387","0","0","10765","64073","Martin Berger","--","-160","benchmark binary decomposition benchmark_suitable precedence set_partitioning set_packing invariant_knapsack binpacking mixed_binary"
"net12","easy","14115","1603","0","12512","14021","80384","P. Belotti","--","214","benchmark decomposition benchmark_suitable precedence set_packing cardinality invariant_knapsack mixed_binary"
"sp97ar","easy","14101","14101","0","0","1761","290968","J. Goessens, S. v. Hoessel, L. Kroon","sp9","660705645.759","benchmark binary benchmark_suitable variable_bound set_packing set_covering mixed_binary"
"dano3_3","easy","13873","69","0","13804","3202","79655","Daniel Bienstock","dano","576.34463303","benchmark benchmark_suitable variable_bound cardinality mixed_binary"
"dano3_5","easy","13873","115","0","13758","3202","79655","Daniel Bienstock","dano","576.9249159565619","benchmark benchmark_suitable variable_bound cardinality mixed_binary"
"neos-1354092","easy","13702","13282","420","0","3135","187187","NEOS Server Submission","neos-pseudoapplication-47","46","benchmark decomposition benchmark_suitable variable_bound set_partitioning general_linear"
"blp-ic98","easy","13640","13550","0","90","717","191947","M. Lübbecke","blp","4491.44758395","benchmark decomposition benchmark_suitable set_packing mixed_binary general_linear"
"supportcase18","easy","13410","13410","0","0","240","28920","Michael Winkler","--","48","benchmark binary benchmark_suitable set_partitioning binpacking"
"ns1952667","easy","13264","0","13264","0","41","335643","NEOS Server Submission","neos-pseudoapplication-78","0","benchmark feasibility benchmark_suitable integer_knapsack general_linear"
